Adding 0.5:
4503599627370497.000	4503599627370498.000	1.000

(x+y)+z:	1.000
x+(y+z):	0.000

Possible bug! f=1207.000000, bad_round=1208.000, slow_round=1207.000
Possible bug! f=1209.000000, bad_round=1210.000, slow_round=1209.000
Possible bug! f=1211.000000, bad_round=1212.000, slow_round=1211.000
Possible bug! f=1213.000000, bad_round=1214.000, slow_round=1213.000
Possible bug! f=1215.000000, bad_round=1216.000, slow_round=1215.000
Possible bug! f=1217.000000, bad_round=1218.000, slow_round=1217.000
Possible bug! f=1219.000000, bad_round=1220.000, slow_round=1219.000
Possible bug! f=1221.000000, bad_round=1222.000, slow_round=1221.000
Possible bug! f=1223.000000, bad_round=1224.000, slow_round=1223.000
Possible bug! f=1225.000000, bad_round=1226.000, slow_round=1225.000
Possible bug! f=1227.000000, bad_round=1228.000, slow_round=1227.000
Possible bug! f=1229.000000, bad_round=1230.000, slow_round=1229.000
Possible bug! f=1231.000000, bad_round=1232.000, slow_round=1231.000
Possible bug! f=1233.000000, bad_round=1234.000, slow_round=1233.000
Possible bug! f=1235.000000, bad_round=1236.000, slow_round=1235.000
Possible bug! f=1237.000000, bad_round=1238.000, slow_round=1237.000
Possible bug! f=1239.000000, bad_round=1240.000, slow_round=1239.000
Possible bug! f=1241.000000, bad_round=1242.000, slow_round=1241.000
Possible bug! f=1243.000000, bad_round=1244.000, slow_round=1243.000
Possible bug! f=1245.000000, bad_round=1246.000, slow_round=1245.000
Possible bug! f=1247.000000, bad_round=1248.000, slow_round=1247.000
Possible bug! f=1249.000000, bad_round=1250.000, slow_round=1249.000
Possible bug! f=1251.000000, bad_round=1252.000, slow_round=1251.000
Possible bug! f=1253.000000, bad_round=1254.000, slow_round=1253.000
Possible bug! f=1255.000000, bad_round=1256.000, slow_round=1255.000
Possible bug! f=1257.000000, bad_round=1258.000, slow_round=1257.000
Possible bug! f=1259.000000, bad_round=1260.000, slow_round=1259.000
Possible bug! f=1261.000000, bad_round=1262.000, slow_round=1261.000
Possible bug! f=1263.000000, bad_round=1264.000, slow_round=1263.000
Possible bug! f=1265.000000, bad_round=1266.000, slow_round=1265.000
Possible bug! f=1267.000000, bad_round=1268.000, slow_round=1267.000
Possible bug! f=1269.000000, bad_round=1270.000, slow_round=1269.000
Possible bug! f=1271.000000, bad_round=1272.000, slow_round=1271.000
Possible bug! f=1273.000000, bad_round=1274.000, slow_round=1273.000
Possible bug! f=1275.000000, bad_round=1276.000, slow_round=1275.000
Possible bug! f=1277.000000, bad_round=1278.000, slow_round=1277.000
Possible bug! f=1279.000000, bad_round=1280.000, slow_round=1279.000
Possible bug! f=1281.000000, bad_round=1282.000, slow_round=1281.000
Possible bug! f=1283.000000, bad_round=1284.000, slow_round=1283.000
Possible bug! f=1285.000000, bad_round=1286.000, slow_round=1285.000
Possible bug! f=1287.000000, bad_round=1288.000, slow_round=1287.000
Possible bug! f=1289.000000, bad_round=1290.000, slow_round=1289.000
Possible bug! f=1291.000000, bad_round=1292.000, slow_round=1291.000
Possible bug! f=1293.000000, bad_round=1294.000, slow_round=1293.000
Possible bug! f=1295.000000, bad_round=1296.000, slow_round=1295.000
Possible bug! f=1297.000000, bad_round=1298.000, slow_round=1297.000
Possible bug! f=1299.000000, bad_round=1300.000, slow_round=1299.000
Possible bug! f=1301.000000, bad_round=1302.000, slow_round=1301.000
Possible bug! f=1303.000000, bad_round=1304.000, slow_round=1303.000
Possible bug! f=1305.000000, bad_round=1306.000, slow_round=1305.000
Possible bug! f=1307.000000, bad_round=1308.000, slow_round=1307.000
Possible bug! f=1309.000000, bad_round=1310.000, slow_round=1309.000
Possible bug! f=1311.000000, bad_round=1312.000, slow_round=1311.000
Possible bug! f=1313.000000, bad_round=1314.000, slow_round=1313.000
Possible bug! f=1315.000000, bad_round=1316.000, slow_round=1315.000
Possible bug! f=1317.000000, bad_round=1318.000, slow_round=1317.000
Possible bug! f=1319.000000, bad_round=1320.000, slow_round=1319.000
Possible bug! f=1321.000000, bad_round=1322.000, slow_round=1321.000
Possible bug! f=1323.000000, bad_round=1324.000, slow_round=1323.000
Possible bug! f=1325.000000, bad_round=1326.000, slow_round=1325.000
Possible bug! f=1327.000000, bad_round=1328.000, slow_round=1327.000
Possible bug! f=1329.000000, bad_round=1330.000, slow_round=1329.000
Possible bug! f=1331.000000, bad_round=1332.000, slow_round=1331.000
Possible bug! f=1333.000000, bad_round=1334.000, slow_round=1333.000
Possible bug! f=1335.000000, bad_round=1336.000, slow_round=1335.000
Possible bug! f=1337.000000, bad_round=1338.000, slow_round=1337.000
Possible bug! f=1339.000000, bad_round=1340.000, slow_round=1339.000
Possible bug! f=1341.000000, bad_round=1342.000, slow_round=1341.000
Possible bug! f=1343.000000, bad_round=1344.000, slow_round=1343.000
Possible bug! f=1345.000000, bad_round=1346.000, slow_round=1345.000
Possible bug! f=1347.000000, bad_round=1348.000, slow_round=1347.000
Possible bug! f=1349.000000, bad_round=1350.000, slow_round=1349.000
Possible bug! f=1351.000000, bad_round=1352.000, slow_round=1351.000
Possible bug! f=1353.000000, bad_round=1354.000, slow_round=1353.000
Possible bug! f=1355.000000, bad_round=1356.000, slow_round=1355.000
Possible bug! f=1357.000000, bad_round=1358.000, slow_round=1357.000
Possible bug! f=1359.000000, bad_round=1360.000, slow_round=1359.000
Possible bug! f=1361.000000, bad_round=1362.000, slow_round=1361.000
Possible bug! f=1363.000000, bad_round=1364.000, slow_round=1363.000
Possible bug! f=1365.000000, bad_round=1366.000, slow_round=1365.000
Possible bug! f=1367.000000, bad_round=1368.000, slow_round=1367.000
Possible bug! f=1369.000000, bad_round=1370.000, slow_round=1369.000
Possible bug! f=1371.000000, bad_round=1372.000, slow_round=1371.000
Possible bug! f=1373.000000, bad_round=1374.000, slow_round=1373.000
Possible bug! f=1375.000000, bad_round=1376.000, slow_round=1375.000
